"renner";"bc";"rank";"team";"bc_naam"
"Pogačar Tadej";"5000";"1";"UAE Team Emirates - XRG";"Tadej Pogačar"
"del Toro Isaac";"3562,5";"3";"UAE Team Emirates - XRG";"Isaac del Toro"
"Großschartner Felix";"625";"36";"UAE Team Emirates - XRG";"Felix Großschartner"
"Mcnulty Brandon";"625";"37";"UAE Team Emirates - XRG";"Brandon Mcnulty"
"Politt Nils";"625";"39";"UAE Team Emirates - XRG";"Nils Politt"
"Vermeersch Florian";"625";"40";"UAE Team Emirates - XRG";"Florian Vermeersch"
"Wellens Tim";"781,25";"25";"UAE Team Emirates - XRG";"Tim Wellens"
"Yates Adam";"1937,5";"11";"UAE Team Emirates - XRG";"Adam Yates"
"Vingegaard Jonas";"4531,25";"2";"Team Visma | Lease a Bike";"Jonas Vingegaard"
"Affini Edoardo";"234,375";"49";"Team Visma | Lease a Bike";"Edoardo Affini"
"Armirail Bruno";"234,375";"50";"Team Visma | Lease a Bike";"Bruno Armirail"
"Campenaerts Victor";"234,375";"52";"Team Visma | Lease a Bike";"Victor Campenaerts"
"Hagenes Per Strand";"234,375";"54";"Team Visma | Lease a Bike";"Per Strand Hagenes"
"Jorgenson Matteo";"1625";"13";"Team Visma | Lease a Bike";"Matteo Jorgenson"
"Kuss Sepp";"312,5";"47";"Team Visma | Lease a Bike";"Sepp Kuss"
"Piganzoli Davide";"812,5";"23";"Team Visma | Lease a Bike";"Davide Piganzoli"
"Evenepoel Remco";"2437,5";"9";"Red Bull - BORA - hansgrohe";"Remco Evenepoel"
"Cattaneo Mattia";"156,25";"82";"Red Bull - BORA - hansgrohe";"Mattia Cattaneo"
"Denz Nico";"156,25";"93";"Red Bull - BORA - hansgrohe";"Nico Denz"
"Hindley Jai";"234,375";"55";"Red Bull - BORA - hansgrohe";"Jai Hindley"
"Lipowitz Florian";"2593,75";"6";"Red Bull - BORA - hansgrohe";"Florian Lipowitz"
"Tratnik Jan";"156,25";"158";"Red Bull - BORA - hansgrohe";"Jan Tratnik"
"van Dijke Tim";"156,25";"167";"Red Bull - BORA - hansgrohe";"Tim van Dijke"
"van Gils Maxim";"234,375";"58";"Red Bull - BORA - hansgrohe";"Maxim van Gils"
"Ayuso Juan";"2437,5";"8";"Lidl - Trek";"Juan Ayuso"
"Gee-west Derek";"156,25";"103";"Lidl - Trek";"Derek Gee-west"
"Pedersen Mads";"2593,75";"7";"Lidl - Trek";"Mads Pedersen"
"Simmons Quinn";"156,25";"145";"Lidl - Trek";"Quinn Simmons"
"Skjelmose Mattias";"734,375";"29";"Lidl - Trek";"Mattias Skjelmose"
"Skujiņš Toms";"156,25";"147";"Lidl - Trek";"Toms Skujiņš"
"Vacek Mathias";"156,25";"161";"Lidl - Trek";"Mathias Vacek"
"Verona Carlos";"156,25";"176";"Lidl - Trek";"Carlos Verona"
"Carapaz Richard";"968,75";"16";"EF Education - EasyPost";"Richard Carapaz"
"Asgreen Kasper";"156,25";"63";"EF Education - EasyPost";"Kasper Asgreen"
"Baudin Alex";"156,25";"69";"EF Education - EasyPost";"Alex Baudin"
"Healy Ben";"812,5";"21";"EF Education - EasyPost";"Ben Healy"
"Quinn Sean";"156,25";"140";"EF Education - EasyPost";"Sean Quinn"
"Steinhauser Georg";"156,25";"150";"EF Education - EasyPost";"Georg Steinhauser"
"Valgren Michael";"156,25";"162";"EF Education - EasyPost";"Michael Valgren"
"Walker Max";"156,25";"181";"EF Education - EasyPost";"Max Walker"
"Seixas Paul";"2906,25";"5";"Decathlon CMA CGM Team";"Paul Seixas"
