renner,cq,rank,team,cq_naam
Pogačar Tadej,5078,1,UAE Team Emirates - XRG,POGACAR Tadej
Vingegaard Jonas,3947,2,Team Visma | Lease a Bike,VINGEGAARD HANSEN Jonas
del Toro Isaac,3189,3,UAE Team Emirates - XRG,DEL TORO ROMERO Isaac
Evenepoel Remco,2228,4,Red Bull - BORA - hansgrohe,EVENEPOEL Remco
Philipsen Jasper,1613,7,Alpecin - Premier Tech,PHILIPSEN Jasper
Seixas Paul,1601,8,Decathlon CMA CGM Team,SEIXAS Paul
Lipowitz Florian,1460,10,Red Bull - BORA - hansgrohe,LIPOWITZ Florian
Grégoire Romain,1446,12,Groupama - FDJ United,GREGOIRE Romain
van der Poel Mathieu,1379,13,Alpecin - Premier Tech,VAN DER POEL Mathieu
Schmid Mauro,1320,15,Team Jayco AlUla,SCHMID Mauro
Johannessen Tobias Halland,1229,18,Uno-X Mobility,JOHANNESSEN Tobias Halland
Mcnulty Brandon,1180,19,UAE Team Emirates - XRG,MCNULTY Brandon
Martinez Lenny,1176,20,Bahrain - Victorious,MARTINEZ Lenny
Skjelmose Mattias,1119,23,Lidl - Trek,SKJELMOSE JENSEN Mattias
Pedersen Mads,1109,24,Lidl - Trek,PEDERSEN Mads
Godon Dorian,1096,25,Netcompany INEOS,GODON Dorian
Arensman Thymen,1021,28,Netcompany INEOS,ARENSMAN Thymen
Izagirre Ion,957,31,Cofidis,IZAGIRRE INSAUSTI Ion
Hindley Jai,924,33,Red Bull - BORA - hansgrohe,HINDLEY Jai
Bernal Egan,913,34,Netcompany INEOS,BERNAL GOMEZ Egan Arley
Jorgenson Matteo,866,37,Team Visma | Lease a Bike,JORGENSON Matteo
Ayuso Juan,862,39,Lidl - Trek,AYUSO PESQUERA Juan
Merlier Tim,857,41,Soudal Quick-Step,MERLIER Tim
Uijtdebroeks Cian,851,43,Movistar Team,UIJTDEBROEKS Cian
Healy Ben,839,45,EF Education - EasyPost,HEALY Ben
Storer Michael,832,47,Tudor Pro Cycling Team,STORER Michael
Riccitello Matthew,830,48,Decathlon CMA CGM Team,RICCITELLO Matthew
Girmay Biniam,805,52,NSN Cycling Team,GIRMAY HAILU Biniam
Baudin Alex,787,55,EF Education - EasyPost,BAUDIN Alex
Yates Adam,785,56,UAE Team Emirates - XRG,YATES Adam
Tiberi Antonio,778,58,Bahrain - Victorious,TIBERI Antonio
Bittner Pavel,708,63,Team Picnic PostNL,BITTNER Pavel
Vauquelin Kévin,681,66,Netcompany INEOS,VAUQUELIN Kévin
Stuyven Jasper,676,68,Soudal Quick-Step,STUYVEN Jasper
Trentin Matteo,667,70,Tudor Pro Cycling Team,TRENTIN Matteo
Kooij Olav,637,73,Decathlon CMA CGM Team,KOOIJ Olav
Piganzoli Davide,634,74,Team Visma | Lease a Bike,PIGANZOLI Davide
Wright Fred,630,76,Pinarello Q36.5 Pro Cycling Team,WRIGHT Fred
Delettre Alexandre,627,77,TotalEnergies,DELETTRE Alexandre
Jegat Jordan,610,78,TotalEnergies,JEGAT Jordan
Ganna Filippo,603,79,Netcompany INEOS,GANNA Filippo
O'connor Ben,601,81,Team Jayco AlUla,O'CONNOR Ben
Abrahamsen Jonas,594,83,Uno-X Mobility,ABRAHAMSEN Jonas
Kuss Sepp,581,84,Team Visma | Lease a Bike,KUSS Sepp
Tejada Harold,580,85,XDS Astana Team,TEJADA CANACUE Harold Alfonso
Hermans Quinten,559,91,Pinarello Q36.5 Pro Cycling Team,HERMANS Quinten
Simmons Quinn,559,92,Lidl - Trek,SIMMONS Quinn
Alaphilippe Julian,556,93,Tudor Pro Cycling Team,ALAPHILIPPE Julian
Vermeersch Florian,550,95,UAE Team Emirates - XRG,VERMEERSCH Florian
Carapaz Richard,544,97,EF Education - EasyPost,CARAPAZ MONTENEGRO Richard Antonio
Kanter Max,507,105,XDS Astana Team,KANTER Max
van Wilder Ilan,506,106,Soudal Quick-Step,VAN WILDER Ilan
Gee-west Derek,505,107,Lidl - Trek,GEE-WEST Derek
Wellens Tim,503,109,UAE Team Emirates - XRG,WELLENS Tim
Berckmoes Jenno,495,113,Lotto Intermarché,BERCKMOES Jenno
Hirschi Marc,488,114,Tudor Pro Cycling Team,HIRSCHI Marc
Costiou Ewen,488,115,Groupama - FDJ United,COSTIOU Ewen
Turgis Anthony,479,117,TotalEnergies,TURGIS Anthony
Higuita Sergio,479,118,XDS Astana Team,HIGUITA GARCIA Sergio Andres
Paret-peintre Valentin,469,124,Soudal Quick-Step,PARET PEINTRE Valentin
Vacek Mathias,467,125,Lidl - Trek,VACEK Mathias
Skujiņš Toms,466,126,Lidl - Trek,SKUJINS Toms
Askey Lewis,463,128,NSN Cycling Team,ASKEY Lewis
Berwick Sebastian,443,134,Caja Rural - Seguros RGA,BERWICK Sebastian
Matthews Michael,439,135,Team Jayco AlUla,MATTHEWS Michael
Voisard Yannis,432,137,Tudor Pro Cycling Team,VOISARD Yannis
Charmig Anthon,429,138,Uno-X Mobility,CHARMIG Anthon
Delbove Joris,422,140,TotalEnergies,DELBOVE Joris
Zimmermann Georg,419,141,Lotto Intermarché,ZIMMERMANN Georg
Engelhardt Felix,376,158,Team Jayco AlUla,ENGELHARDT Felix
Prodhomme Nicolas,374,160,Decathlon CMA CGM Team,PRODHOMME Nicolas
Fretin Milan,372,163,Cofidis,FRETIN Milan
Teunissen Mike,367,165,XDS Astana Team,TEUNISSEN Mike
Velasco Simone,364,166,XDS Astana Team,VELASCO Simone
Armirail Bruno,364,167,Team Visma | Lease a Bike,ARMIRAIL Bruno
Frigo Marco,343,172,NSN Cycling Team,FRIGO Marco
Mohorič Matej,338,175,Bahrain - Victorious,MOHORIC Matej
Ballerini Davide,322,189,XDS Astana Team,BALLERINI Davide
Paret-peintre Aurélien,319,190,Decathlon CMA CGM Team,PARET PEINTRE Aurélien
García Pierna Raúl,318,191,Movistar Team,GARCIA PIERNA Raul
Valgren Michael,316,192,EF Education - EasyPost,VALGREN HUNDAHL Michael
Martin Guillaume,307,196,Groupama - FDJ United,MARTIN GUYONNET Guillaume
Thomas Benjamin,306,199,Cofidis,THOMAS Benjamin
Pluimers Rick,303,202,Tudor Pro Cycling Team,PLUIMERS Rick
Politt Nils,300,210,UAE Team Emirates - XRG,POLITT Nils
