renner,general,points,mountain,youth,winner,dnf
Evenepoel Remco,0,20,20,,1,
Pogačar Tadej,0,17,15,,,
del Toro Isaac,6,15,12,0,,
Seixas Paul,58,13,10,52,,
Lipowitz Florian,58,11,8,,,
Skjelmose Mattias,117,9,4,,,
Martinez Lenny,117,10,6,111,,
Ayuso Juan,120,8,2,114,,
Yates Adam,120,7,4,,,
Simmons Quinn,136,15,11,130,,
Voisard Yannis,142,5,6,,,
Carapaz Richard,171,4,1,,,
Pidcock Tom,174,3,10,,,
Jegat Jordan,197,2,,,,
Rubio Einer,262,10,2,,,
Tiberi Antonio,295,1,,256,,
Costiou Ewen,317,,1,311,,
Piganzoli Davide,321,,,315,,
van Wilder Ilan,340,,,,,
Riccitello Matthew,340,,,334,,
Schmid Mauro,427,,,,,
Balderstone Abel,536,,,,,
Martin Guillaume,536,,,,,
Vinokurov Nicolas,578,,,572,,
van Gils Maxim,603,,,,,
Hindley Jai,603,,,,,
Prodhomme Nicolas,652,,,,,
Paret-peintre Aurélien,652,,,,,
Cattaneo Mattia,652,,,,,
Verona Carlos,859,,,,,
Großschartner Felix,877,,,,,
Mcnulty Brandon,877,,,,,
Frigo Marco,884,,,,,
García Pierna Raúl,994,,,988,,
Baudin Alex,1008,,,1002,,
van Dijke Tim,1030,,,,,
Vauquelin Kévin,1066,,,1060,,
Mohorič Matej,1123,,,,,
Foss Tobias,1123,,,,,
Jorgenson Matteo,1260,,,,,
Kuss Sepp,1260,,,,,
van Moer Brent,1260,,,,,
Campenaerts Victor,1260,,,,,
Healy Ben,1283,,,,,
van Eetvelt Lennert,1283,,,1277,,
Quinn Sean,1283,,,,,
Valgren Michael,1283,,,,,
Delettre Alexandre,1283,,,,,
Politt Nils,1342,,,,,
Wellens Tim,1343,,,,,
Parra José Félix,1343,,,,,
Armirail Bruno,1355,6,,,,
Meurisse Xandro,1429,,,,,
Abrahamsen Jonas,1429,,,,,
Benoot Tiesj,1429,,,,,
Russo Clément,1429,,,,,
Pacher Quentin,1429,,,,,
Barguil Warren,1429,,,,,
Romo Javier,1429,,,,,
Izagirre Ion,1429,,,,,
Caruso Damiano,1429,,,,,
Velasco Simone,1429,,,,,
Tratnik Jan,1429,,,,,
Higuita Sergio,1429,,,,,
O'connor Ben,1433,,,,,
Delbove Joris,86520,,,,,
Le Berre Mathis,86520,,,1436,,
Arensman Thymen,90000,,,,,
Bernal Egan,90000,,,,,
Steinhauser Georg,90660,,,90300,,
Gee-west Derek,91140,,,,,
Oliveira Nelson,91560,,,,,
Braz Afonso Clément,91560,,,,,
Matthews Michael,92460,,,,,
Hermans Quinten,92760,,,,,
Vermeersch Florian,92760,,,,,
Otruba Jakub,95100,,,,,
Berwick Sebastian,95100,,,,,
Paret-peintre Valentin,96480,,2,96120,,
Grégoire Romain,96480,,,96120,,
Germani Lorenzo,96480,,,96120,,
Hagenes Per Strand,99180,,,98820,,
Azparren Xabier Mikel,99900,,,,,
Castrillo Pablo,99900,,,99540,,
van Baarle Dylan,101880,,,,,
Vervaeke Louis,101880,,,,,
Turgis Anthony,102660,,,,,
Stannard Robert,102660,2,,,,
Marsman Tim,105240,,,,,
Pluimers Rick,105240,,,,,
van der Poel Mathieu,105240,,,,,
Stuyven Jasper,105240,,,,,
Storer Michael,105240,,,,,
Skaarseth Anders,105240,,,,,
Johannessen Tobias Halland,105240,,,,,
Slock Liam,105240,,,,,
Rickaert Jonas,106800,5,,,,
Engelhardt Felix,108720,,,,,
Wright Fred,108720,,,,,
Howson Damien,108720,,,,,
Bennett George,108720,,,,,
Durbridge Luke,108720,,,,,
Dillier Silvan,108720,,,,,
Hessmann Michel,108720,,,108360,,
Verstrynge Emiel,108720,,,108360,,
Aranburu Alex,108720,,,,,
Cepeda Jefferson Alveiro,108720,4,,,,
Denz Nico,108720,,,,,
Johannessen Anders Halland,108720,,,,,
Haller Marco,108960,,,,,
Alaphilippe Julian,108960,,,,,
Märkl Niklas,110880,,,,,
Ackermann Pascal,112620,,,,,
Zimmermann Georg,112620,,,,,
Bittner Pavel,114600,,,114240,,
Planckaert Edward,114600,8,,,,
Fretin Milan,115620,,,115260,,
Walker Max,115860,,,115500,,
Asgreen Kasper,115860,,,,,
Cort Magnus,117060,,,,,
Biermans Jenthe,117060,,,,,
Tarling Joshua,117180,,,116820,,
Hirschi Marc,119040,,,,,
Teunissen Mike,119040,,,,,
Craps Lars,119820,,,119460,,
van Mechelen Vlad,119820,,,119460,,
Veistroffer Baptiste,121920,,,,,
Page Hugo,121920,,,121560,,
Godon Dorian,123240,,,,,
Kwiatkowski Michał,123240,,,,,
Ganna Filippo,123240,3,,,,
Gate Aaron,125760,,,,,
Tejada Harold,125760,,,,,
Oldani Stefano,127380,,,,,
Ballerini Davide,127380,7,,,,
Affini Edoardo,127380,,,,,
Kanter Max,127380,16,,,,
Breuillard Nicolas,127620,,,,,
Kirsch Alex,129000,,,,,
Vacek Mathias,129000,1,,128640,,
Pedersen Mads,129000,20,,,,
Skujiņš Toms,129000,,,,,
Neilands Krists,129000,,,,,
Gradek Kamil,129000,,,,,
Bauhaus Phil,129000,,,,,
Allegaert Piet,129000,,,,,
Plapp Luke,129000,,,,,
Kooij Olav,129000,,,128640,,
Hoole Daan,131820,,,,,
Guernalec Thibault,132780,,,,,
Louvel Matis,132780,,,,,
Thomas Benjamin,132780,,,,,
van den Broek Frank,133440,,,,,
Dhondt Robbe,134580,,,134220,,
Degenkolb John,134580,,,,,
van den Berg Julius,134580,,,,,
Bol Cees,134580,,,,,
Nicolau Joel,134580,,,,,
Philipsen Jasper,134580,25,,,,
Artz Huub,134580,,,134220,,
Vercher Mattéo,134580,,,134220,,
Stewart Jake,134820,12,,,,
Girmay Biniam,134820,14,,,,
Askey Lewis,137760,,,137400,,
Eenkhoorn Pascal,139020,,,,,
Wærenskjold Søren,139200,,,,,
Merlier Tim,,,,,,1
Vingegaard Jonas,,,,,,1
van Asbroeck Tom,,,,,,1
