renner,general,points,mountain,youth,winner
Pogačar Tadej,0,30,2,,1
Vingegaard Jonas,2,25,1,,
Carapaz Richard,2,22,,,
Seixas Paul,2,19,,0,
Johannessen Tobias Halland,4,17,,,
Lipowitz Florian,4,13,,,
van Eetvelt Lennert,4,15,,2,
Evenepoel Remco,4,11,,,
del Toro Isaac,4,9,,2,
Ayuso Juan,4,7,,2,
Skjelmose Mattias,10,6,,,
van Wilder Ilan,12,5,,,
Martinez Lenny,12,4,,10,
Jegat Jordan,12,3,,,
Pidcock Tom,18,,,,
Higuita Sergio,18,2,,,
Bernal Egan,18,,,,
Benoot Tiesj,27,,,,
Arensman Thymen,27,,,,
Piganzoli Davide,33,,,31,
Tiberi Antonio,42,,,40,
Debruyne Ramses,48,,,46,
Yates Adam,50,,,,
Kuss Sepp,50,,,,
Tejada Harold,57,10,,,
Castrillo Pablo,60,,,58,
Uijtdebroeks Cian,60,,,58,
Martin Guillaume,66,,,,
Træen Torstein,82,,,,
Voisard Yannis,98,,,,
Hindley Jai,98,,,,
Quinn Sean,103,,,,
Parra José Félix,105,,,,
Paret-peintre Aurélien,134,,,,
Mcnulty Brandon,143,,,,
van Gils Maxim,153,,,,
Prodhomme Nicolas,153,2,9,,
Vacek Mathias,158,,,156,
Harper Chris,161,,,,
Jorgenson Matteo,162,,,,
Simmons Quinn,169,,,167,
Paret-peintre Valentin,180,,2,178,
Breuillard Nicolas,193,,,,
Verona Carlos,207,,,,
Skaarseth Anders,207,,,,
Bennett George,242,1,1,,
Baudin Alex,248,16,12,246,
García Pierna Raúl,256,,6,254,
Großschartner Felix,302,,,,
Vercher Mattéo,456,12,2,454,
Asgreen Kasper,815,,,,
Oliveira Nelson,815,7,,,
Balderstone Abel,815,6,,,
Rubio Einer,815,,,,
Izagirre Ion,815,,,,
Hirschi Marc,815,,,,
Vauquelin Kévin,815,,,813,
Storer Michael,815,14,,,
Germani Lorenzo,815,,,813,
Cattaneo Mattia,815,,,,
Caruso Damiano,815,,,,
Campenaerts Victor,815,,,,
Hermans Quinten,815,,,,
Meurisse Xandro,815,,,,
Skujiņš Toms,815,,,,
Braz Afonso Clément,815,3,,,
Gee-west Derek,815,,,,
van Mechelen Vlad,834,4,4,832,
Velasco Simone,978,,,,
Cort Magnus,1058,8,,,
Politt Nils,1192,,,,
Matthews Michael,1197,,,,
Abrahamsen Jonas,1197,,,,
Wellens Tim,1218,,,,
Grégoire Romain,1218,,,1216,
Eenkhoorn Pascal,1218,,,,
Cepeda Jefferson Alveiro,1218,,,,
Romo Javier,1218,,1,,
Le Berre Mathis,1218,,,1216,
Zimmermann Georg,1218,,,,
O'connor Ben,1222,,,,
Oldani Stefano,1232,,,,
Berwick Sebastian,1232,,,,
Otruba Jakub,1232,,,,
Delettre Alexandre,1241,,,,
Delbove Joris,1241,20,,,
van Baarle Dylan,1241,,,,
Stuyven Jasper,1251,,,,
Healy Ben,1260,,,,
Schmid Mauro,1288,5,,,
Dillier Silvan,1379,,,,
Engelhardt Felix,1379,,,,
Teunissen Mike,1379,,,,
Russo Clément,1379,,,,
Pacher Quentin,1379,,,,
Pluimers Rick,1379,,,,
Berckmoes Jenno,1379,,,1377,
Charmig Anthon,1379,,,,
Howson Damien,1379,,,,
Stannard Robert,1379,,,,
Gate Aaron,1379,,,,
Durbridge Luke,1379,,,,
