bib,renner,normalisatie,team,jongeren
1,Pogačar Tadej,pogacar tadej,UAE Team Emirates - XRG,
2,del Toro Isaac,del toro isaac,UAE Team Emirates - XRG,1
3,Großschartner Felix,gro schartner felix,UAE Team Emirates - XRG,
4,Mcnulty Brandon,mcnulty brandon,UAE Team Emirates - XRG,
5,Politt Nils,politt nils,UAE Team Emirates - XRG,
6,Vermeersch Florian,vermeersch florian,UAE Team Emirates - XRG,
7,Wellens Tim,wellens tim,UAE Team Emirates - XRG,
8,Yates Adam,yates adam,UAE Team Emirates - XRG,
11,Vingegaard Jonas,vingegaard jonas,Team Visma | Lease a Bike,
12,Affini Edoardo,affini edoardo,Team Visma | Lease a Bike,
13,Armirail Bruno,armirail bruno,Team Visma | Lease a Bike,
14,Campenaerts Victor,campenaerts victor,Team Visma | Lease a Bike,
15,Hagenes Per Strand,hagenes per strand,Team Visma | Lease a Bike,1
16,Jorgenson Matteo,jorgenson matteo,Team Visma | Lease a Bike,
17,Kuss Sepp,kuss sepp,Team Visma | Lease a Bike,
18,Piganzoli Davide,piganzoli davide,Team Visma | Lease a Bike,1
21,Evenepoel Remco,evenepoel remco,Red Bull - BORA - hansgrohe,
22,Cattaneo Mattia,cattaneo mattia,Red Bull - BORA - hansgrohe,
23,Denz Nico,denz nico,Red Bull - BORA - hansgrohe,
24,Hindley Jai,hindley jai,Red Bull - BORA - hansgrohe,
25,Lipowitz Florian,lipowitz florian,Red Bull - BORA - hansgrohe,
26,Tratnik Jan,tratnik jan,Red Bull - BORA - hansgrohe,
27,van Dijke Tim,van dijke tim,Red Bull - BORA - hansgrohe,
28,van Gils Maxim,van gils maxim,Red Bull - BORA - hansgrohe,
31,Ayuso Juan,ayuso juan,Lidl - Trek,1
32,Gee-west Derek,gee west derek,Lidl - Trek,
33,Pedersen Mads,pedersen mads,Lidl - Trek,
34,Simmons Quinn,simmons quinn,Lidl - Trek,1
35,Skjelmose Mattias,skjelmose mattias,Lidl - Trek,
36,Skujiņš Toms,skujins toms,Lidl - Trek,
37,Vacek Mathias,vacek mathias,Lidl - Trek,1
38,Verona Carlos,verona carlos,Lidl - Trek,
41,Carapaz Richard,carapaz richard,EF Education - EasyPost,
42,Asgreen Kasper,asgreen kasper,EF Education - EasyPost,
43,Baudin Alex,baudin alex,EF Education - EasyPost,1
44,Healy Ben,healy ben,EF Education - EasyPost,
45,Quinn Sean,quinn sean,EF Education - EasyPost,
46,Steinhauser Georg,steinhauser georg,EF Education - EasyPost,1
47,Valgren Michael,valgren michael,EF Education - EasyPost,
48,Walker Max,walker max,EF Education - EasyPost,1
51,Seixas Paul,seixas paul,Decathlon CMA CGM Team,1
52,Benoot Tiesj,benoot tiesj,Decathlon CMA CGM Team,
53,Bol Cees,bol cees,Decathlon CMA CGM Team,
54,Hoole Daan,hoole daan,Decathlon CMA CGM Team,
55,Kooij Olav,kooij olav,Decathlon CMA CGM Team,1
56,Paret-peintre Aurélien,paret peintre aurelien,Decathlon CMA CGM Team,
57,Prodhomme Nicolas,prodhomme nicolas,Decathlon CMA CGM Team,
58,Riccitello Matthew,riccitello matthew,Decathlon CMA CGM Team,1
61,Higuita Sergio,higuita sergio,XDS Astana Team,
62,Ballerini Davide,ballerini davide,XDS Astana Team,
63,Gate Aaron,gate aaron,XDS Astana Team,
64,Kanter Max,kanter max,XDS Astana Team,
65,Tejada Harold,tejada harold,XDS Astana Team,
66,Teunissen Mike,teunissen mike,XDS Astana Team,
67,Velasco Simone,velasco simone,XDS Astana Team,
68,Vinokurov Nicolas,vinokurov nicolas,XDS Astana Team,1
71,Martinez Lenny,martinez lenny,Bahrain - Victorious,1
72,Bauhaus Phil,bauhaus phil,Bahrain - Victorious,
73,Caruso Damiano,caruso damiano,Bahrain - Victorious,
74,Gradek Kamil,gradek kamil,Bahrain - Victorious,
75,Mohorič Matej,mohoric matej,Bahrain - Victorious,
76,Stannard Robert,stannard robert,Bahrain - Victorious,
77,Tiberi Antonio,tiberi antonio,Bahrain - Victorious,1
78,van Mechelen Vlad,van mechelen vlad,Bahrain - Victorious,1
81,Bernal Egan,bernal egan,Netcompany INEOS,
82,Arensman Thymen,arensman thymen,Netcompany INEOS,
83,Foss Tobias,foss tobias,Netcompany INEOS,
84,Ganna Filippo,ganna filippo,Netcompany INEOS,
85,Godon Dorian,godon dorian,Netcompany INEOS,
86,Kwiatkowski Michał,kwiatkowski micha,Netcompany INEOS,
87,Tarling Joshua,tarling joshua,Netcompany INEOS,1
88,Vauquelin Kévin,vauquelin kevin,Netcompany INEOS,1
91,Merlier Tim,merlier tim,Soudal Quick-Step,
92,Eenkhoorn Pascal,eenkhoorn pascal,Soudal Quick-Step,
93,Paret-peintre Valentin,paret peintre valentin,Soudal Quick-Step,1
94,Stuyven Jasper,stuyven jasper,Soudal Quick-Step,
95,van Baarle Dylan,van baarle dylan,Soudal Quick-Step,
96,van Lerberghe Bert,van lerberghe bert,Soudal Quick-Step,
97,van Wilder Ilan,van wilder ilan,Soudal Quick-Step,
98,Vervaeke Louis,vervaeke louis,Soudal Quick-Step,
101,van der Poel Mathieu,van der poel mathieu,Alpecin - Premier Tech,
102,Debruyne Ramses,debruyne ramses,Alpecin - Premier Tech,1
103,Dillier Silvan,dillier silvan,Alpecin - Premier Tech,
104,Marsman Tim,marsman tim,Alpecin - Premier Tech,
105,Philipsen Jasper,philipsen jasper,Alpecin - Premier Tech,
106,Planckaert Edward,planckaert edward,Alpecin - Premier Tech,
107,Rickaert Jonas,rickaert jonas,Alpecin - Premier Tech,
108,Verstrynge Emiel,verstrynge emiel,Alpecin - Premier Tech,1
111,O'connor Ben,o connor ben,Team Jayco AlUla,
112,Ackermann Pascal,ackermann pascal,Team Jayco AlUla,
113,Durbridge Luke,durbridge luke,Team Jayco AlUla,
114,Engelhardt Felix,engelhardt felix,Team Jayco AlUla,
115,Matthews Michael,matthews michael,Team Jayco AlUla,
116,O'brien Kelland (OTL #4),o brien kelland otl 4,Team Jayco AlUla,
117,Plapp Luke,plapp luke,Team Jayco AlUla,
118,Schmid Mauro,schmid mauro,Team Jayco AlUla,
121,Johannessen Tobias Halland,johannessen tobias halland,Uno-X Mobility,
122,Abrahamsen Jonas,abrahamsen jonas,Uno-X Mobility,
123,Charmig Anthon,charmig anthon,Uno-X Mobility,
124,Cort Magnus,cort magnus,Uno-X Mobility,
125,Johannessen Anders Halland,johannessen anders halland,Uno-X Mobility,
126,Skaarseth Anders,skaarseth anders,Uno-X Mobility,
127,Træen Torstein,tr en torstein,Uno-X Mobility,
128,Wærenskjold Søren,w renskjold s ren,Uno-X Mobility,
131,Girmay Biniam,girmay biniam,NSN Cycling Team,
132,Askey Lewis,askey lewis,NSN Cycling Team,1
133,Bennett George,bennett george,NSN Cycling Team,
134,Frigo Marco,frigo marco,NSN Cycling Team,
135,Louvel Matis,louvel matis,NSN Cycling Team,
136,Neilands Krists,neilands krists,NSN Cycling Team,
137,Stewart Jake,stewart jake,NSN Cycling Team,
138,van Asbroeck Tom,van asbroeck tom,NSN Cycling Team,
141,Uijtdebroeks Cian,uijtdebroeks cian,Movistar Team,1
142,Castrillo Pablo,castrillo pablo,Movistar Team,1
143,Cepeda Jefferson Alveiro,cepeda jefferson alveiro,Movistar Team,
144,García Pierna Raúl,garcia pierna raul,Movistar Team,1
145,Hessmann Michel,hessmann michel,Movistar Team,1
146,Oliveira Nelson,oliveira nelson,Movistar Team,
147,Romo Javier,romo javier,Movistar Team,
148,Rubio Einer,rubio einer,Movistar Team,
151,de Lie Arnaud (DNF #3),de lie arnaud dnf 3,Lotto Intermarché,1
152,Artz Huub,artz huub,Lotto Intermarché,1
153,Berckmoes Jenno,berckmoes jenno,Lotto Intermarché,1
154,Craps Lars,craps lars,Lotto Intermarché,1
155,Slock Liam,slock liam,Lotto Intermarché,
156,van Eetvelt Lennert,van eetvelt lennert,Lotto Intermarché,1
157,Veistroffer Baptiste,veistroffer baptiste,Lotto Intermarché,
158,Zimmermann Georg,zimmermann georg,Lotto Intermarché,
161,Izagirre Ion,izagirre ion,Cofidis,
162,Allegaert Piet,allegaert piet,Cofidis,
163,Aranburu Alex,aranburu alex,Cofidis,
164,Biermans Jenthe,biermans jenthe,Cofidis,
165,Fretin Milan,fretin milan,Cofidis,1
166,Kirsch Alex,kirsch alex,Cofidis,
167,Page Hugo,page hugo,Cofidis,1
168,Thomas Benjamin,thomas benjamin,Cofidis,
171,Pidcock Tom,pidcock tom,Pinarello Q36.5 Pro Cycling Team,
172,Azparren Xabier Mikel,azparren xabier mikel,Pinarello Q36.5 Pro Cycling Team,
173,Harper Chris,harper chris,Pinarello Q36.5 Pro Cycling Team,
174,Hermans Quinten,hermans quinten,Pinarello Q36.5 Pro Cycling Team,
175,Howson Damien,howson damien,Pinarello Q36.5 Pro Cycling Team,
176,Meurisse Xandro,meurisse xandro,Pinarello Q36.5 Pro Cycling Team,
177,van Moer Brent,van moer brent,Pinarello Q36.5 Pro Cycling Team,
178,Wright Fred,wright fred,Pinarello Q36.5 Pro Cycling Team,
181,Grégoire Romain,gregoire romain,Groupama - FDJ United,1
182,Berthet Clément (DNS #2),berthet clement dns 2,Groupama - FDJ United,
183,Braz Afonso Clément,braz afonso clement,Groupama - FDJ United,
184,Costiou Ewen,costiou ewen,Groupama - FDJ United,1
185,Germani Lorenzo,germani lorenzo,Groupama - FDJ United,1
186,Martin Guillaume,martin guillaume,Groupama - FDJ United,
187,Pacher Quentin,pacher quentin,Groupama - FDJ United,
188,Russo Clément,russo clement,Groupama - FDJ United,
191,Alaphilippe Julian,alaphilippe julian,Tudor Pro Cycling Team,
192,de Kleijn Arvid,de kleijn arvid,Tudor Pro Cycling Team,
193,Haller Marco,haller marco,Tudor Pro Cycling Team,
194,Hirschi Marc,hirschi marc,Tudor Pro Cycling Team,
195,Pluimers Rick,pluimers rick,Tudor Pro Cycling Team,
196,Storer Michael,storer michael,Tudor Pro Cycling Team,
197,Trentin Matteo,trentin matteo,Tudor Pro Cycling Team,
198,Voisard Yannis,voisard yannis,Tudor Pro Cycling Team,
201,Jegat Jordan,jegat jordan,TotalEnergies,
202,Breuillard Nicolas,breuillard nicolas,TotalEnergies,
203,Delbove Joris,delbove joris,TotalEnergies,
204,Delettre Alexandre,delettre alexandre,TotalEnergies,
205,Guernalec Thibault,guernalec thibault,TotalEnergies,
206,Le Berre Mathis,le berre mathis,TotalEnergies,1
207,Turgis Anthony,turgis anthony,TotalEnergies,
