name,team,code,stage,effectiveStage,source
Berthet Clément,Groupama - FDJ United,DNS,2,2,stage2.xlsx
De Lie Arnaud,Lotto Intermarché,DNF,3,4,stage3.xlsx
O'Brien Kelland,Team Jayco AlUla,OTL,4,5,stage4.xlsx
Molenaar Alex,Caja Rural - Seguros RGA,DNS,6,6,stage6.xlsx
Uijtdebroeks Cian,Movistar Team,DNF,6,7,stage6.xlsx
Van Lerberghe Bert,Soudal Quick-Step,DNF,6,7,stage6.xlsx
de Kleijn Arvid,Tudor Pro Cycling Team,DNF,6,7,stage6.xlsx
Træen Torstein,Uno-X Mobility,DNS,7,7,stage7.xlsx
Trentin Matteo,Tudor Pro Cycling Team,DNS,10,10,stage10.xlsx
Harper Chris,Pinarello Q36.5 Pro Cycling Team,DNS,11,11,stage11.xlsx
Berckmoes Jenno,Lotto Intermarché,DNS,13,13,stage13.xlsx
Biesterbos Frits,Team Picnic PostNL,DNS,13,13,stage13.xlsx
Gaviria Fernando,Caja Rural - Seguros RGA,DNS,13,13,stage13.xlsx
Charmig Anthon,,OTL,14,15,stage14.xlsx
Debruyne Ramses,,DNS,14,14,stage14.xlsx
Merlier Tim,,DNF,15,16,stage15.xlsx
Vingegaard Jonas,,DNF,15,16,stage15.xlsx
van Asbroeck Tom,,DNF,15,16,stage15.xlsx
Craps Lars,,DNS,16,16,stage16.xlsx
Lipowitz Florian,,DNF,16,17,stage16.xlsx
