"renner";"bc";"rank";"team";"pcs_url"
"POGAČAR Tadej";"3671";"1";"UAE Team Emirates - XRG";"https://www.procyclingstats.com/rider/tadej-pogacar"
"ROGLIČ Primož";"2931";"2";"Red Bull - BORA - hansgrohe";"https://www.procyclingstats.com/rider/primoz-roglic"
"LANDA Mikel";"2113";"3";"Soudal Quick-Step";"https://www.procyclingstats.com/rider/mikel-landa"
"ALMEIDA João";"1819";"4";"UAE Team Emirates - XRG";"https://www.procyclingstats.com/rider/joao-almeida"
"MAS Enric";"1807";"5";"Movistar Team";"https://www.procyclingstats.com/rider/enric-mas"
"CARAPAZ Richard";"1740";"6";"EF Education - EasyPost";"https://www.procyclingstats.com/rider/richard-carapaz"
"VAN AERT Wout";"1720";"7";"Team Visma | Lease a Bike";"https://www.procyclingstats.com/rider/wout-van-aert"
"MARTIN Guillaume";"1634";"8";"Groupama - FDJ United";"https://www.procyclingstats.com/rider/guillaume-martin"
"RODRÍGUEZ Carlos";"1557";"9";"Netcompany INEOS";"https://www.procyclingstats.com/rider/carlos-rodriguez-cano"
"KRUIJSWIJK Steven";"1551";"10";"Team Visma | Lease a Bike";"https://www.procyclingstats.com/rider/steven-kruijswijk"
"PEDERSEN Mads";"1430";"11";"Lidl - Trek";"https://www.procyclingstats.com/rider/mads-pedersen"
"LUTSENKO Alexey";"1427";"12";"NSN Cycling Team";"https://www.procyclingstats.com/rider/aleksey-lutsenko"
"ONLEY Oscar";"1402";"13";"Netcompany INEOS";"https://www.procyclingstats.com/rider/oscar-onley"
"SKJELMOSE Mattias";"1311";"14";"Lidl - Trek";"https://www.procyclingstats.com/rider/mattias-skjelmose-jensen"
"BUCHMANN Emanuel";"1301";"15";"Cofidis";"https://www.procyclingstats.com/rider/emanuel-buchmann"
"KUSS Sepp";"1301";"16";"Team Visma | Lease a Bike";"https://www.procyclingstats.com/rider/sepp-kuss"
"COQUARD Bryan";"1255";"17";"Cofidis";"https://www.procyclingstats.com/rider/bryan-coquard"
"KONRAD Patrick";"1237";"18";"Lidl - Trek";"https://www.procyclingstats.com/rider/patrick-konrad"
"LAPORTE Christophe";"1211";"19";"Team Visma | Lease a Bike";"https://www.procyclingstats.com/rider/christophe-laporte"
"KÜNG Stefan";"1209";"20";"Tudor Pro Cycling Team";"https://www.procyclingstats.com/rider/stefan-kung"
"DE LA CRUZ David";"1200";"21";"Pinarello Q36.5 Pro Cycling Team";"https://www.procyclingstats.com/rider/david-de-la-cruz"
"SIVAKOV Pavel";"1195";"22";"UAE Team Emirates - XRG";"https://www.procyclingstats.com/rider/pavel-sivakov"
"GALL Felix";"1147";"23";"Decathlon CMA CGM Team";"https://www.procyclingstats.com/rider/felix-gall"
"JOHANNESSEN Tobias Halland";"1076";"24";"Uno-X Mobility";"https://www.procyclingstats.com/rider/tobias-halland-johannessen"
"CORT Magnus";"1065";"25";"Uno-X Mobility";"https://www.procyclingstats.com/rider/magnus-cort-nielsen"
"MADOUAS Valentin";"1048";"26";"Groupama - FDJ United";"https://www.procyclingstats.com/rider/valentin-madouas"
"UIJTDEBROEKS Cian";"992";"27";"Movistar Team";"https://www.procyclingstats.com/rider/cian-uijtdebroeks"
