renner,general,points,mountain,youth,winner
"POGAČAR Tadej",0,20,,,1
"HAYTER Ethan",0,17,,,
"TARLING Joshua",4,15,,0,
"THORNLEY Callum",5,13,,1,
"LAPORTE Christophe",6,11,,,
"BISIAUX Léo",8,10,,4,
"CHAMBERLAIN Oscar",9,9,,5,
"VAN AERT Wout",9,8,,,
"FISHER-BLACK Finn",10,7,,6,
"KLUCKERS Arthur",11,6,,,
"ROMELE Alessandro",13,5,,9,
"KÜNG Stefan",14,4,,,
"VINE Jay",14,3,,,
"OLIVEIRA Ivo",14,2,,,
"PEDERSEN Mads",16,1,,,
"BRENNAN Matthew",16,,,12,
"DE PESTEL Sander",18,,,
"ALMEIDA João",18,,,
"ROMEO Iván",18,,,14,
"TILLER Rasmus",20,,,
"KÄMNA Lennard",21,,,
"TUCKWELL Luke",21,,,17,
"TURNER Ben",21,,,
"ROGLIČ Primož",22,,,
"LABROSSE Jordan",23,,,19,
"AULAR Orluis",23,,,
"SÜTTERLIN Jasha",25,,,
"LAURANCE Axel",26,,,22,
"LANGELLOTTI Victor",26,,,
"KIRSCH Alex",26,,,
"DEBRUYNE Ramses",27,,,23,
"PALENI Enzo",27,,,23,
"TORRES Pablo",27,,,23,
"RODRÍGUEZ Carlos",27,,,23,
"VAN DEN BOSSCHE Fabio",28,,,
"BRENNER Marco",28,,,24,
"STEINHAUSER Georg",28,,,24,
"JOHANNESSEN Tobias Halland",28,,,
"AZPARREN Xabier Mikel",29,,,
"SKJELMOSE Mattias",29,,,
"MACKELLAR Alastair",29,,,25,
"RENARD Alexis",30,,,
"TRONCHON Bastien",31,,,27,
"KRON Andreas",31,,,
"LUTSENKO Alexey",32,,,
"MADOUAS Valentin",32,,,
"DE JONG Timo",32,,,
"KRETSCHY Moritz",33,,,29,
"MARTÍ Pau",33,,,29,
"MAS Enric",33,,,
"WEISS Fabian",33,,,29,
"CARAPAZ Richard",33,,,
"CASTRILLO Pablo",34,,,30,
"DVERSNES LAVIK Fredrik",34,,,
"NORDHAGEN Jørgen",35,,,31,
"BUSATTO Francesco",36,,,32,
"ZANA Filippo",36,,,
"MOSCA Jacopo",36,,,
"TEJADA Harold",36,,,
"MCKENZIE Hamish",36,,,32,
"TULETT Ben",36,,,32,
"BARTA Will",36,,,
"VERMEERSCH Gianni",37,,,
"SIVAKOV Pavel",37,,,
"CANAL Carlos",37,,,33,
"WARBASSE Larry",37,,,
"DE SCHUYTENEER Steffen",37,,,33,
"SHAW James",38,,,
"BUITRAGO Santiago",38,,,
"MÜHLBERGER Gregor",39,,,
"SUNEKÆR NORSGAARD Mathias",40,,,
"OMRZEL Jakob",40,,,36,
"LEKNESSUND Andreas",41,,,
"HAIG Jack",41,,,
"DAINESE Alberto",42,,,
"GROVES Kaden",42,,,
"BERTHET Clément",43,,,
"PARET-PEINTRE Valentin",43,,,39,
"SENTJENS Sente",43,,,39,
"DOUBLE Paul",43,,,
"BERNARD Julien",43,,,
"MOLARD Rudy",44,,,
"GARCÍA PIERNA Raúl",44,,,40,
"VAN TRICHT Floris",44,,,40,
"ELOSEGUI Iñigo",45,,,
"GOGL Michael",45,,,
"MEEUS Jordi",45,,,
"APARICIO Mario",45,,,
"KUSS Sepp",45,,,
"RICCITELLO Matthew",46,,,42,
"GALL Felix",46,,,
"MIQUEL Pau",47,,,
"ROCHAS Rémy",47,,,
"RUIZ Ibon",47,,,
"BERRADE Urko",47,,,
"GONZÁLEZ David",47,,,
"HOFSTETTER Hugo",48,,,
"ALBANESE Vincenzo",48,,,
"LEEMREIZE Gijs",48,,,
"LE GAC Olivier",48,,,
"SVESTAD-BÅRDSENG Embret",48,,,44,
"BRUSTENGA Marc",48,,,
"VADER Milan",49,,,
"ROOSEN Timo",49,,,
"VAN SINTMAARTENSDIJK Roel",49,,,45,
"ONLEY Oscar",50,,,46,
"BOUWMAN Koen",50,,,
"CRAPS Lars",50,,,46,
