renner,general,points,mountain,youth,winner,withdrawn
"BRENNAN Matthew",0,50,,0,1,
"COQUARD Bryan",0,43,,,,
"MEEUS Jordi",0,20,,,,
"CORT Magnus",0,20,,,,
"VAN AERT Wout",0,31,3,,,
"HOFSTETTER Hugo",0,11,,,,
"TRONCHON Bastien",0,13,,0,,
"GOVEKAR Matevž",0,8,,,,
"ROMELE Alessandro",0,20,1,0,,
"AULAR Orluis",0,,,,,
"BRAET Vito",0,6,,,,
"BRUSTENGA Marc",0,5,,,,
"MULUBRHAN Henok",0,4,,,,
"ALBANESE Vincenzo",0,3,,,,
"LABROSSE Jordan",0,2,,0,,
"ELOSEGUI Iñigo",0,,,,,
"ALLENO Clément",0,,,,,
"GONZÁLEZ David",0,,,,,
"PORTER Rudy",0,,,,,
"NYS Thibau",0,,,0,,
"DE JONG Timo",0,,,,,
"BERTHET Clément",0,,,,,
"KONRAD Patrick",0,,,,,
"TEJADA Harold",0,,,,,
"VADER Milan",0,,,,,
"CAMPRUBÍ Marcel",0,,,0,,
"MARTIN Guillaume",0,,,,,
"ROTA Lorenzo",0,,,,,
"BISIAUX Léo",0,,,0,,
"KÜNG Stefan",0,,1,,,
"BRENNER Marco",0,,,0,,
"APARICIO Mario",0,,,,,
"LEKNESSUND Andreas",0,,,,,
"MADOUAS Valentin",0,,,,,
"BERNARD Julien",0,,,,,
"SKJELMOSE Mattias",0,,,,,
"MOLARD Rudy",0,,,,,
"SVESTAD-BÅRDSENG Embret",0,,,0,,
"PICKERING Finlay",0,,,0,,
"MÜHLBERGER Gregor",0,10,,,,
"CANAL Carlos",0,,,0,,
"GALL Felix",0,,,,,
"LAURANCE Axel",0,,,0,,
"PALENI Enzo",0,,,0,,
"DVERSNES LAVIK Fredrik",0,,,,,
"PAASSCHENS Mathijs",0,,,,,
"BOUWMAN Koen",0,,,,,
"ROGLIČ Primož",0,,,,,
"CARAPAZ Richard",0,,,,,
"SHAW James",0,,,,,
"WANDAHL Frederik",0,,,0,,
"ONLEY Oscar",0,,,0,,
"LEEMREIZE Gijs",0,,2,,,
"MAS Enric",0,,,,,
"RODRÍGUEZ Cristián",0,,,,,
"KUSS Sepp",0,,,,,
"WIDAR Jarno",0,,,0,,
"CRAPS Lars",0,,,0,,
"OMRZEL Jakob",0,,,0,,
"JOHANNESSEN Tobias Halland",0,,,,,
"RICCITELLO Matthew",0,,,0,,
"FAURA José Luis",0,,,,,
"WEISS Fabian",0,,,0,,
"ZANA Filippo",0,,,,,
"BUITRAGO Santiago",0,,10,,,
"RODRIGUEZ Juan Felipe",0,,,0,,
"BERRADE Urko",0,,,,,
"WARBASSE Larry",0,17,,,,
"BUCHMANN Emanuel",0,,,,,
"TJØTTA Martin",0,,,0,,
"HIRT Jan",0,,,,,
"BARTA Will",0,,,,,
"SCOTSON Callum",0,,,,,
"GLOAG Thomas",0,,,0,,
"SIVAKOV Pavel",0,,,,,
"WILKSCH Hannes",0,,,0,,
"DEBRUYNE Ramses",0,,,0,,
"DE PESTEL Sander",0,,,,,
"HOULE Hugo",0,,,,,
"AZPARREN Xabier Mikel",0,,,,,
"HAIG Jack",0,,,,,
"VANSEVENANT Mauri",0,,,,,
"ARMIRAIL Bruno",0,,,,,
"HAMILTON Lucas",0,,,,,
"LAPORTE Christophe",0,,,,,
"THORNLEY Callum",0,,,0,,
"LANDA Mikel",0,,,,,
"FEDOROV Yevgeniy",0,,,,,
"BILBAO Pello",0,,,,,
"FISHER-BLACK Finn",0,,,0,,
"SCHULTZ Nick",0,,,,,
"KÄMNA Lennard",0,,,,,
"MIQUEL Pau",0,,,,,
"MARTÍ Pau",0,,,0,,
"KRON Andreas",0,,,,,
"DALBY Simon",0,,,0,,
"DUNBAR Eddie",40,,,,,
"ROCHAS Rémy",46,,,,,
"LUTSENKO Alexey",61,,,,,
"GARCÍA PIERNA Raúl",68,,,68,,
"DE SCHUYTENEER Steffen",163,,,163,,
"FORTUNATO Lorenzo",163,,4,,,
"RODRÍGUEZ Carlos",163,,,163,,
"DÍAZ José Manuel",163,,,,,
"NORDHAGEN Jørgen",163,,,163,,
"TUCKWELL Luke",163,,,163,,
"MACKELLAR Alastair",163,,,163,,
"SENTJENS Sente",163,,,163,,
"VERMEERSCH Gianni",191,,,,,
"LE GAC Olivier",201,,,,,
"OURSELIN Paul",201,,,,,
"RENARD Alexis",228,,,,,
"VALTER Attila",228,,,,,
"MOSCA Jacopo",333,,,,,
"DAINESE Alberto",333,,,,,
"OLIVEIRA Ivo",365,,,,,
"STEINHAUSER Georg",379,,,379,,
"ALMEIDA João",379,,,,,
"THALMANN Roland",397,,,,,
"THOMPSON Reuben",397,,,397,,
"TILLER Rasmus",397,,,,,
"ARCAS Jorge",442,,,,,
"MACÍAS César",452,,,452,,
"GOGL Michael",473,,,,,
"SÜTTERLIN Jasha",479,,,,,
"COVI Alessandro",479,,,,,
"MONIQUET Sylvain",479,,,,,
"ERMAKOV Roman",479,,,479,,
"HAMILTON Chris",479,,,,,
"ROOSEN Timo",479,,,,,
"HERRADA Jesús",479,,,,,
"RUIZ Ibon",479,,,,,
"ROULAND Louis",479,,,479,,
"CALZONI Walter",479,,,479,,
"VAN DEN BOSSCHE Fabio",479,,,,,
"CHAMBERLAIN Oscar",479,,,479,,
"PARET-PEINTRE Valentin",499,,,499,,
"GAROFOLI Gianmarco",579,,,579,,
"VAN BEKKUM Darren",579,,,579,,
"GLIVAR Gal",579,,,579,,
"HAYTER Ethan",579,20,,,,
"DOUBLE Paul",579,,,,,
"RAFFERTY Darren",579,,,579,,
"PEACE Oliver",579,,,579,,
"SUNEKÆR NORSGAARD Mathias",579,,,,,
"HELLEMOSE Asbjørn",579,,,,,
"NOVAK Domen",579,,,,,
"KLUCKERS Arthur",579,,,,,
"SAMITIER Sergio",579,,,,,
"KRUIJSWIJK Steven",579,,,,,
"MARTINEZ Juan Guillermo",579,,,579,,
"CASTRILLO Pablo",621,,,621,,
"ROMEO Iván",633,,,633,,
"BUSATTO Francesco",633,,,633,,
"TULETT Ben",633,,,633,,
"DE LA CRUZ David",633,,,,,
"KRETSCHY Moritz",633,,,633,,
"WENZEL Mats",633,,,633,,
"FERNÁNDEZ Sinuhé",633,,,,,
"COBO Iván",633,,,,,
"SOSA Iván Ramiro",633,,,,,
"VERMAERKE Kevin",633,,,,,
"VINE Jay",633,,,,,
"DE VYLDER Lindsay",633,,,,,
"MOSCON Gianni",633,,,,,
"MCKENZIE Hamish",934,,,934,,
"PEDERSEN Mads",,,,,,DNS
