"renner","general","points","mountain","youth","winner","withdrawn"
"DUNBAR EDDIE","0",20,15,"","1",""
"BUITRAGO SANTIAGO","14",17,9,"","",""
"GLOAG THOMAS","23",15,4,23,"",""
"BERRADE URKO","44",13,2,"","",""
"CAMPRUBÍ MARCEL","104",11,1,104,"",""
"MARTIN GUILLAUME","121",26,0,"","",""
"LEKNESSUND ANDREAS","131",10,6,"","",""
"HAMILTON CHRIS","159",8,0,"","",""
"VERMAERKE KEVIN","183",27,3,"","",""
"SAMITIER SERGIO","197",6,0,"","",""
"MOLARD RUDY","229",20,0,"","",""
"GALL FELIX","311",4,0,"","",""
"CARAPAZ RICHARD","311",3,0,"","",""
"ROGLIČ PRIMOŽ","311",2,0,"","",""
"MAS ENRIC","311",0,0,"","",""
"ONLEY OSCAR","311",1,0,311,"",""
"OMRZEL JAKOB","317",0,0,317,"",""
"BERTHET CLÉMENT","321",0,0,"","",""
"KUSS SEPP","341",0,0,"","",""
"TEJADA HAROLD","341",0,0,"","",""
"RODRÍGUEZ CRISTIÁN","341",0,0,"","",""
"BISIAUX LÉO","352",0,0,352,"",""
"APARICIO MARIO","366",0,0,"","",""
"RICCITELLO MATTHEW","366",0,0,366,"",""
"HIRT JAN","366",0,0,"","",""
"SKJELMOSE MATTIAS","386",0,0,"","",""
"PORTER RUDY","419",0,0,"","",""
"VAN BEKKUM DARREN","439",0,0,439,"",""
"HAIG JACK","493",0,0,"","",""
"BILBAO PELLO","493",0,0,"","",""
"WENZEL MATS","495",13,0,495,"",""
"RODRIGUEZ JUAN FELIPE","498",0,0,498,"",""
"CASTRILLO PABLO","503",0,0,503,"",""
"MIQUEL PAU","533",10,0,"","",""
"KONRAD PATRICK","533",0,0,"","",""
"VALTER ATTILA","567",0,0,"","",""
"BUCHMANN EMANUEL","602",0,0,"","",""
"ZANA FILIPPO","652",0,0,"","",""
"SCOTSON CALLUM","663",0,0,"","",""
"BOUWMAN KOEN","704",0,0,"","",""
"RODRÍGUEZ CARLOS","787",0,0,787,"",""
"DÍAZ JOSÉ MANUEL","833",0,0,"","",""
"LEEMREIZE GIJS","861",0,0,"","",""
"FAURA JOSÉ LUIS","861",0,1,861,"",""
"BERNARD JULIEN","866",0,0,"","",""
"TRONCHON BASTIEN","866",0,0,"","",""
"MULUBRHAN HENOK","866",0,0,"","",""
"LANDA MIKEL","939",0,0,"","",""
"VADER MILAN","939",0,0,"","",""
"GARCÍA PIERNA RAÚL","950",0,0,"","",""
"ROMEO IVÁN","950",0,0,"","",""
"GAROFOLI GIANMARCO","1011",0,0,"","",""
"ROCHAS RÉMY","1011",0,0,"","",""
"MADOUAS VALENTIN","1020",0,0,"","",""
"OURSELIN PAUL","1020",0,0,"","",""
"TUCKWELL LUKE","1066",0,0,1066,"",""
"HAMILTON LUCAS","1066",0,0,"","",""
"SVESTAD-BÅRDSENG EMBRET","1066",0,0,1066,"",""
"THALMANN ROLAND","1110",0,0,"","",""
"FORTUNATO LORENZO","1143",0,0,"","",""
"FISHER-BLACK FINN","1184",0,0,1184,"",""
"MONIQUET SYLVAIN","1247",0,0,"","",""
"JOHANNESSEN TOBIAS HALLAND","1297",0,0,"","",""
"PALENI ENZO","1297",0,0,1297,"",""
"WARBASSE LARRY","1297",0,0,"","",""
"GOGL MICHAEL","1297",0,0,"","",""
"WILKSCH HANNES","1297",0,0,1297,"",""
"MOSCON GIANNI","1365",0,0,"","",""
"THORNLEY CALLUM","1365",0,0,"","",""
"ALLENO CLÉMENT","1399",0,0,"","",""
"FERNÁNDEZ SINUHÉ","1399",0,0,"","",""
"HERRADA JESÚS","1399",0,0,"","",""
"MARTÍ PAU","1399",0,0,"","",""
"PAASSCHENS MATHIJS","1399",0,0,"","",""
"VERMEERSCH GIANNI","1446",0,0,"","",""
"WANDAHL FREDERIK","1471",0,0,"","",""
"COBO IVÁN","1550",0,0,"","",""
"ELOSEGUI IÑIGO","1550",0,0,"","",""
"KÄMNA LENNARD","1550",0,0,"","",""
"VANSEVENANT MAURI","1550",0,0,"","",""
"ROULAND LOUIS","1575",0,0,1575,"",""
"KRUIJSWIJK STEVEN","1586",0,0,"","",""
"TJØTTA MARTIN","1591",0,0,"","",""
"NORDHAGEN JØRGEN","1591",0,0,1591,"",""
"GLIVAR GAL","1591",0,0,1591,"",""
"SCHULTZ NICK","1591",0,0,"","",""
"THOMPSON REUBEN","1607",0,0,1607,"",""
"TILLER RASMUS","1638",0,0,"","",""
"DVERSNES LAVIK FREDRIK","1638",0,0,"","",""
"CANAL CARLOS","1668",0,0,"","",""
"MOSCA JACOPO","1668",0,0,"","",""
"KRON ANDREAS","1732",0,0,"","",""
"CORT MAGNUS","1732",0,0,"","",""
"ARMIRAIL BRUNO","1732",0,0,"","",""
"LAURANCE AXEL","1732",0,0,"","",""
"PARET-PEINTRE VALENTIN","1732",0,0,1732,"",""
"VAN AERT WOUT","1732",0,0,"","",""
"DE PESTEL SANDER","1732",0,0,"","",""
"CRAPS LARS","1732",0,0,"","",""
"DEBRUYNE RAMSES","1732",0,0,1732,"",""
"WIDAR JARNO","1732",0,0,1732,"",""
"ROMELE ALESSANDRO","1732",0,0,"","",""
"MARTINEZ JUAN GUILLERMO","1732",0,0,"","",""
"RUIZ IBON","1732",0,0,"","",""
"CHAMBERLAIN OSCAR","1732",0,0,"","",""
"DE JONG TIMO","1768",0,0,"","",""
"ARCAS JORGE","1787",0,0,"","",""
"AULAR ORLUIS","1787",0,0,"","",""
"BRENNER MARCO","1787",0,0,1787,"",""
"CALZONI WALTER","1903",0,0,"","",""
"NYS THIBAU","1903",0,0,"","",""
"DE LA CRUZ DAVID","1963",0,0,"","",""
"AZPARREN XABIER MIKEL","1963",0,0,"","",""
"WEISS FABIAN","2053",0,0,"","",""
"SHAW JAMES","2053",0,0,"","",""
"BRENNAN MATTHEW","2053",0,0,"","",""
"DE SCHUYTENEER STEFFEN","2053",0,0,2053,"",""
"HELLEMOSE ASBJØRN","2053",0,0,"","",""
"COVI ALESSANDRO","2053",0,0,"","",""
"RAFFERTY DARREN","2053",0,0,"","",""
"DAINESE ALBERTO","2053",0,0,"","",""
"SOSA IVÁN RAMIRO","2053",0,0,"","",""
"HOFSTETTER HUGO","2053",0,0,"","",""
"DALBY SIMON","2053",0,0,"","",""
"BRUSTENGA MARC","2053",0,0,"","",""
"SÜTTERLIN JASHA","2053",0,0,"","",""
"LE GAC OLIVIER","2053",0,0,"","",""
"COQUARD BRYAN","2053",0,0,"","",""
"SUNEKÆR NORSGAARD MATHIAS","2053",0,0,"","",""
"ERMAKOV ROMAN","2053",0,0,2053,"",""
"BARTA WILL","2053",0,0,"","",""
"BRAET VITO","2053",0,0,"","",""
"ROTA LORENZO","2053",0,0,"","",""
"ALBANESE VINCENZO","2053",0,0,"","",""
"ALMEIDA JOÃO","2053",0,0,"","",""
"MACÍAS CÉSAR","2053",0,0,2053,"",""
"STEINHAUSER GEORG","2053",0,0,"","",""
"MACKELLAR ALASTAIR","2053",0,0,"","",""
"MEEUS JORDI","2105",0,0,"","",""
"HAYTER ETHAN","2105",0,0,"","",""
"VAN DEN BOSSCHE FABIO","2105",0,0,"","",""
"GOVEKAR MATEVŽ","2105",0,0,"","",""
"NOVAK DOMEN","2105",0,0,"","",""
"PICKERING FINLAY","2108",0,0,2108,"",""
"OLIVEIRA IVO","2156",0,0,"","",""
"DOUBLE PAUL","","","","","","DNF"
"FEDOROV YEVGENIY","","","","","","DNS"
"KÜNG STEFAN","","","","","","DNS"
