BIB,Rider,Nation,Team,Youth
1,VERGALLITO Luca,,Alpecin - Premier Tech,
2,RIESEBEEK Oscar,,Alpecin - Premier Tech,
3,GLIVAR Gal,,Alpecin - Premier Tech,1
4,HOULE Hugo,,Alpecin - Premier Tech,
5,ERMAKOV Roman,,Bahrain Victorious,1
6,BUITRAGO Santiago,,Bahrain Victorious,
7,MIQUEL Pau,,Bahrain Victorious,
8,BISIAUX Léo,,Decathlon CMA CGM Team,1
9,GALL Felix,,Decathlon CMA CGM Team,
10,RICCITELLO Matthew,,Decathlon CMA CGM Team,1
11,SHAW James,,EF Education - EasyPost,
12,CARAPAZ Richard,,EF Education - EasyPost,
13,VAN DEN BERG Marijn,,EF Education - EasyPost,
14,BERTHET Clément,,Groupama - FDJ United,
15,MOLARD Rudy,,Groupama - FDJ United,
16,MARTIN Guillaume,,Groupama - FDJ United,
17,DE PLUS Laurens,,Netcompany INEOS,
18,RODRÍGUEZ Carlos,,Netcompany INEOS,1
19,ONLEY Oscar,,Netcompany INEOS,1
20,LAURANCE Axel,,Netcompany INEOS,1
21,PEDERSEN Mads,,Lidl - Trek,
22,SKJELMOSE Mattias,,Lidl - Trek,
23,NYS Thibau,,Lidl - Trek,1
24,SUNEKÆR NORSGAARD Mathias,,Lidl - Trek,
25,WIDAR Jarno,,Lotto - Intermarché,1
26,CASTRILLO Pablo,,Movistar Team,1
27,GARCÍA PIERNA Raúl,,Movistar Team,1
28,UIJTDEBROEKS Cian,,Movistar Team,1
29,ROMEO Iván,,Movistar Team,1
30,ARCAS Jorge,,Movistar Team,
31,MAS Enric,,Movistar Team,
32,QUINTANA Nairo,,Movistar Team,
33,HIRT Jan,,NSN Cycling Team,
34,LUTSENKO Alexey,,NSN Cycling Team,
35,HAJEK Alexander,,Red Bull - BORA - hansgrohe,1
36,PITHIE Laurence,,Red Bull - BORA - hansgrohe,1
37,VERMEERSCH Gianni,,Red Bull - BORA - hansgrohe,
38,ROGLIČ Primož,,Red Bull - BORA - hansgrohe,
39,TUCKWELL Luke,,Red Bull - BORA - hansgrohe,1
40,PARET-PEINTRE Valentin,,Soudal - Quick-Step,1
41,LANDA Mikel,,Soudal - Quick-Step,
42,DAINESE Alberto,,Soudal - Quick-Step,
43,HAYTER Ethan,,Soudal - Quick-Step,
44,CRAS Steff,,Soudal - Quick-Step,
45,ZANA Filippo,,Soudal - Quick-Step,
46,PLAPP Luke,,Team Jayco AlUla,
47,DOUBLE Paul,,Team Jayco AlUla,
48,POOLE Max,,Team Picnic PostNL,1
49,MARTINEZ Juan Guillermo,,Team Picnic PostNL,1
50,VAN AERT Wout,,Team Visma - Lease a Bike,
51,HUISING Menno,,Team Visma - Lease a Bike,1
52,GRAAT Tijmen,,Team Visma - Lease a Bike,1
53,KRUIJSWIJK Steven,,Team Visma - Lease a Bike,
54,TULETT Ben,,Team Visma - Lease a Bike,1
55,NORDHAGEN Jørgen,,Team Visma - Lease a Bike,1
56,BRENNAN Matthew,,Team Visma - Lease a Bike,1
57,POGAČAR Tadej,,UAE Team Emirates XRG,
58,ALMEIDA João,,UAE Team Emirates XRG,
59,VINE Jay,,UAE Team Emirates XRG,
60,SIVAKOV Pavel,,UAE Team Emirates XRG,
61,TORRES Pablo,,UAE Team Emirates XRG,1
62,VERMAERKE Kevin,,UAE Team Emirates XRG,
63,OLIVEIRA Ivo,,UAE Team Emirates XRG,
64,NOVAK Domen,,UAE Team Emirates XRG,
65,DVERSNES LAVIK Fredrik,,Uno-X Mobility,
66,TRÆEN Torstein,,Uno-X Mobility,
67,LEKNESSUND Andreas,,Uno-X Mobility,
68,KRON Andreas,,Uno-X Mobility,
69,CORT Magnus,,Uno-X Mobility,
70,LANGELLOTTI Victor,,XDS Astana Team,
71,FORTUNATO Lorenzo,,XDS Astana Team,
72,RODRÍGUEZ Cristián,,XDS Astana Team,
73,CHAMPOUSSIN Clément,,XDS Astana Team,
74,LÓPEZ Harold Martín,,XDS Astana Team,
75,TEJADA Harold,,XDS Astana Team,
76,MULUBRHAN Henok,,XDS Astana Team,
77,BRENNER Marco,,Tudor Pro Cycling Team,1
78,KÜNG Stefan,,Tudor Pro Cycling Team,
79,RENARD Alexis,,Cofidis,
80,BUCHMANN Emanuel,,Cofidis,
81,COQUARD Bryan,,Cofidis,
82,CALZONI Walter,,Pinarello - Q36.5 Pro Cycling Team,1
83,DE LA CRUZ David,,Pinarello - Q36.5 Pro Cycling Team,
84,VADER Milan,,Pinarello - Q36.5 Pro Cycling Team,
85,DÍAZ José Manuel,,Burgos Burpellet BH,
86,HERRADA Jesús,,Burgos Burpellet BH,
87,COBO Iván,,Equipo Kern Pharma,
88,WENZEL Mats,,Equipo Kern Pharma,1
89,URIARTE Diego,,Equipo Kern Pharma,1
90,SOSA Iván Ramiro,,Equipo Kern Pharma,
91,RUIZ Ibon,,Equipo Kern Pharma,
92,ELOSEGUI Iñigo,,Equipo Kern Pharma,
93,BRUSTENGA Marc,,Equipo Kern Pharma,
94,BERRADE Urko,,Equipo Kern Pharma,
